"replication","tau","estimator","accepted_measure_020","accepted_measure_010","accepted_measure_005","measure_diff_020_005","measure_absdiff_020_005","measure_diff_010_005","measure_absdiff_010_005","component_diff_020_005","component_diff_010_005","all_accepted_changed_020","all_accepted_changed_010","left_endpoint_changed_020","left_endpoint_changed_010","right_endpoint_changed_020","right_endpoint_changed_010","any_accepted_changed_020","any_accepted_changed_010","n_components_005","components_missed_by_010","components_missed_by_020","comparison_status"
4,0.5,"DML-IVQR",3.4,3.4,3.5,-0.0999999999999996,0.0999999999999996,-0.0999999999999996,0.0999999999999996,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,1,1,"complete"
4,0.5,"Full-GMM",3.6,3.5,3.6,0,0,-0.1,0.1,-4,-4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,2,2,"complete"
4,0.5,"Oracle-GMM",3.6,3.5,3.35,0.25,0.25,0.15,0.15,-6,-4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,1,3,"complete"
4,0.9,"DML-IVQR",3.8,3.9,3.85,-0.0499999999999998,0.0499999999999998,0.0500000000000003,0.0500000000000003,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,"complete"
4,0.9,"Full-GMM",3.9,3.75,3.675,0.225,0.225,0.0749999999999997,0.0749999999999997,-6,-4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,0,2,"complete"
4,0.9,"Oracle-GMM",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
5,0.1,"DML-IVQR",4,4,3.95,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,-1,-1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,"complete"
5,0.1,"Full-GMM",4,4,3.95,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,-1,-1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,"complete"
5,0.1,"Oracle-GMM",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
5,0.5,"DML-IVQR",4,3.9,3.85,0.15,0.15,0.0500000000000003,0.0500000000000003,-2,-1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,"complete"
5,0.5,"Full-GMM",4,3.9,3.95,0.0499999999999998,0.0499999999999998,-0.0499999999999998,0.0499999999999998,-1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,"complete"
5,0.5,"Oracle-GMM",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
5,0.9,"DML-IVQR",3.4,3.4,3.45,-0.0499999999999998,0.0499999999999998,-0.0499999999999998,0.0499999999999998,-2,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,1,"complete"
5,0.9,"Full-GMM",3.6,3.7,3.8,-0.2,0.2,-0.1,0.1,-3,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,0,1,"complete"
5,0.9,"Oracle-GMM",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
6,0.1,"DML-IVQR",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
6,0.1,"Full-GMM",4,4,3.9,0.0999999999999996,0.0999999999999996,0.0999999999999996,0.0999999999999996,-2,-2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,"complete"
6,0.1,"Oracle-GMM",3.8,3.9,3.65,0.15,0.15,0.25,0.25,-4,-4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,0,2,"complete"
6,0.5,"DML-IVQR",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
6,0.5,"Full-GMM",3.7,3.85,3.775,-0.0750000000000002,0.0750000000000002,0.0749999999999997,0.0749999999999997,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,1,"complete"
6,0.5,"Oracle-GMM",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
6,0.9,"DML-IVQR",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
6,0.9,"Full-GMM",4,3.9,3.8,0.2,0.2,0.1,0.1,-3,-2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,0,"complete"
6,0.9,"Oracle-GMM",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
7,0.1,"DML-IVQR",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
7,0.1,"Full-GMM",3.9,3.95,3.925,-0.0249999999999999,0.0249999999999999,0.0249999999999999,0.0249999999999999,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,"complete"
7,0.1,"Oracle-GMM",2.7,2.65,2.675,0.0249999999999999,0.0249999999999999,-0.0249999999999999,0.0249999999999999,-2,-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,1,"complete"
7,0.5,"DML-IVQR",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
7,0.5,"Full-GMM",3.8,3.8,3.85,-0.0499999999999998,0.0499999999999998,-0.0499999999999998,0.0499999999999998,-1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,"complete"
7,0.5,"Oracle-GMM",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
7,0.9,"DML-IVQR",3,3,3.1,-0.1,0.1,-0.1,0.1,-4,-4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,2,2,"complete"
7,0.9,"Full-GMM",4,4,3.9,0.0999999999999996,0.0999999999999996,0.0999999999999996,0.0999999999999996,-2,-2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,"complete"
7,0.9,"Oracle-GMM",3.4,3.3,3.05,0.35,0.35,0.25,0.25,-10,-6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,0,2,"complete"
8,0.1,"DML-IVQR",3.8,3.8,3.7,0.1,0.1,0.1,0.1,-2,-2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,0,"complete"
8,0.1,"Full-GMM",4,4,3.9,0.0999999999999996,0.0999999999999996,0.0999999999999996,0.0999999999999996,-2,-2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,"complete"
8,0.1,"Oracle-GMM",4,4,3.95,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,-1,-1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,"complete"
8,0.5,"DML-IVQR",4,4,3.95,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,-1,-1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,"complete"
8,0.5,"Full-GMM",4,4,3.95,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,-1,-1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,"complete"
8,0.5,"Oracle-GMM",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
8,0.9,"DML-IVQR",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
8,0.9,"Full-GMM",4,4,3.95,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,-1,-1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,"complete"
8,0.9,"Oracle-GMM",4,4,3.95,0.0499999999999998,0.0499999999999998,0.0499999999999998,0.0499999999999998,-1,-1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,"complete"
9,0.1,"DML-IVQR",3.8,3.9,3.9,-0.1,0.1,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,"complete"
9,0.1,"Full-GMM",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
9,0.1,"Oracle-GMM",3.9,3.75,3.775,0.125,0.125,-0.0250000000000004,0.0250000000000004,-2,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,0,"complete"
9,0.5,"DML-IVQR",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
9,0.5,"Full-GMM",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
9,0.5,"Oracle-GMM",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
9,0.9,"DML-IVQR",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
9,0.9,"Full-GMM",4,3.9,3.95,0.0499999999999998,0.0499999999999998,-0.0499999999999998,0.0499999999999998,-1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,"complete"
9,0.9,"Oracle-GMM",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
10,0.1,"DML-IVQR",3.5,3.45,3.475,0.0249999999999999,0.0249999999999999,-0.0249999999999999,0.0249999999999999,-4,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,5,1,2,"complete"
10,0.1,"Full-GMM",4,3.9,3.95,0.0499999999999998,0.0499999999999998,-0.0499999999999998,0.0499999999999998,-1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,"complete"
10,0.1,"Oracle-GMM",4,3.9,3.9,0.0999999999999996,0.0999999999999996,0,0,-1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,"complete"
10,0.5,"DML-IVQR",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
10,0.5,"Full-GMM",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
10,0.5,"Oracle-GMM",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
10,0.9,"DML-IVQR",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
10,0.9,"Full-GMM",4,4,3.85,0.15,0.15,0.15,0.15,-3,-3,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,0,0,"complete"
10,0.9,"Oracle-GMM",4,4,4,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,"complete"
